Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1094,21,23/03/2022 23:00,Moda Center,Portland Trail Blazers,San Antonio Spurs,96 - 133
1095,22,24/03/2022 20:30,Scotiabank Arena,Toronto Raptors,Cleveland Cavaliers,117 - 104
1096,22,24/03/2022 21:00,FedExForum,Memphis Grizzlies,Indiana Pacers,133 - 103
1097,22,24/03/2022 21:00,Fiserv Forum,Milwaukee Bucks,Washington Wizards,114 - 102
1098,22,24/03/2022 21:00,Smoothie King Center,New Orleans Pelicans,Chicago Bulls,126 - 109
1099,22,24/03/2022 22:00,Ball Arena,Denver Nuggets,Phoenix Suns,130 - 140
1100,22,25/03/2022 20:00,Spectrum Center,Charlotte Hornets,Utah Jazz,107 - 101
1101,22,25/03/2022 20:00,Little Caesars Arena,Detroit Pistons,Washington Wizards,97 - 100
1102,22,25/03/2022 20:30,State Farm Arena,Atlanta Hawks,Golden State Warriors,121 - 110
1103,22,25/03/2022 21:00,FTX Arena,Miami Heat,New York Knicks,103 - 111
1104,22,25/03/2022 21:00,Target Center,Minnesota Timberwolves,Dallas Mavericks,116 - 95
1105,22,25/03/2022 23:00,Moda Center,Portland Trail Blazers,Houston Rockets,106 - 125
1106,22,25/03/2022 23:30,Crypto.com Arena,LA Clippers,Philadelphia 76ers,97 - 122
1107,22,26/03/2022 18:00,Smoothie King Center,New Orleans Pelicans,San Antonio Spurs,103 - 107
1108,22,26/03/2022 20:00,Amway Center,Orlando Magic,Sacramento Kings,110 - 114
1109,22,26/03/2022 20:30,Scotiabank Arena,Toronto Raptors,Indiana Pacers,131 - 91
1110,22,26/03/2022 21:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Chicago Bulls,94 - 98
1111,22,26/03/2022 21:00,FTX Arena,Miami Heat,Brooklyn Nets,95 - 110
1112,22,26/03/2022 21:00,FedExForum,Memphis Grizzlies,Milwaukee Bucks,127 - 102
1113,22,26/03/2022 22:00,Ball Arena,Denver Nuggets,Oklahoma City Thunder,113 - 107
1114,22,26/03/2022 23:00,Moda Center,Portland Trail Blazers,Houston Rockets,98 - 115
1115,22,27/03/2022 16:30,Little Caesars Arena,Detroit Pistons,New York Knicks,102 - 104
1116,22,27/03/2022 19:00,TD Garden,Boston Celtics,Minnesota Timberwolves,134 - 112
1117,22,27/03/2022 19:00,Capital One Arena,Washington Wizards,Golden State Warriors,123 - 115
1118,22,27/03/2022 19:00,Footprint Center,Phoenix Suns,Philadelphia 76ers,114 - 104
1119,22,27/03/2022 20:00,Smoothie King Center,New Orleans Pelicans,Los Angeles Lakers,116 - 108
1120,22,27/03/2022 20:30,Barclays Center,Brooklyn Nets,Charlotte Hornets,110 - 119
1121,22,27/03/2022 20:30,American Airlines Center,Dallas Mavericks,Utah Jazz,114 - 100
1122,22,28/03/2022 20:00,Spectrum Center,Charlotte Hornets,Denver Nuggets,109 - 113
1123,22,28/03/2022 20:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Orlando Magic,107 - 101
1124,22,28/03/2022 20:00,Gainbridge Fieldhouse,Indiana Pacers,Atlanta Hawks,123 - 132
1125,22,28/03/2022 20:30,FTX Arena,Miami Heat,Sacramento Kings,123 - 100
1126,22,28/03/2022 20:30,Madison Square Garden,New York Knicks,Chicago Bulls,109 - 104
1127,22,28/03/2022 20:30,Scotiabank Arena,Toronto Raptors,Boston Celtics,115 - 112
1128,22,28/03/2022 21:00,Toyota Center,Houston Rockets,San Antonio Spurs,120 - 123
1129,22,28/03/2022 21:00,FedExForum,Memphis Grizzlies,Golden State Warriors,123 - 95
1130,22,28/03/2022 23:00,Moda Center,Portland Trail Blazers,Oklahoma City Thunder,131 - 134
1131,22,29/03/2022 20:00,Wells Fargo Center,Philadelphia 76ers,Milwaukee Bucks,116 - 118
1132,22,29/03/2022 20:00,Capital One Arena,Washington Wizards,Chicago Bulls,94 - 107
1133,22,29/03/2022 20:30,Barclays Center,Brooklyn Nets,Detroit Pistons,130 - 123
1134,22,29/03/2022 20:30,American Airlines Center,Dallas Mavericks,Los Angeles Lakers,128 - 110
1135,22,29/03/2022 23:00,Crypto.com Arena,LA Clippers,Utah Jazz,121 - 115
1136,22,30/03/2022 20:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Dallas Mavericks,112 - 120
1137,22,30/03/2022 20:00,Gainbridge Fieldhouse,Indiana Pacers,Denver Nuggets,118 - 125
1138,22,30/03/2022 20:00,Capital One Arena,Washington Wizards,Orlando Magic,127 - 110
1139,22,30/03/2022 20:30,TD Garden,Boston Celtics,Miami Heat,98 - 106
